page0_block0_line0_word0.png;cash
page0_block0_line0_word1.png;payment
page0_block0_line0_word2.png;receipt
page0_block0_line1_word0.png;company
page0_block0_line1_word1.png;name:
page0_block0_line2_word0.png;street
page0_block0_line2_word1.png;address:
page0_block0_line3_word0.png;city,
page0_block0_line3_word1.png;state,
page0_block0_line3_word2.png;zip:
page0_block0_line4_word0.png;phone:
page0_block0_line5_word0.png;fax:
page0_block0_line6_word0.png;email:
page0_block0_line7_word0.png;website:
page0_block0_line8_word0.png;date:
page0_block0_line9_word0.png;recepit
page0_block0_line9_word1.png;#:
page0_block0_line10_word0.png;payment
page0_block0_line10_word1.png;information
page0_block0_line11_word0.png;paid
page0_block0_line11_word1.png;by:
page0_block0_line12_word0.png;amount
page0_block0_line12_word1.png;paid:
page0_block0_line13_word0.png;dollars
page0_block0_line13_word1.png;($.
page0_block0_line14_word0.png;for
page0_block0_line14_word1.png;payment
page0_block0_line14_word2.png;of:
page0_block0_line15_word0.png;subtotal:
page0_block0_line15_word1.png;$.
page0_block0_line16_word0.png;tax
page0_block0_line16_word1.png;rate
page0_block0_line16_word2.png;(%):
page0_block0_line17_word0.png;total
page0_block0_line17_word1.png;tax:
page0_block0_line17_word2.png;$.
page0_block0_line18_word0.png;total
page0_block0_line18_word1.png;amount
page0_block0_line18_word2.png;due:
page0_block0_line18_word3.png;$.
page0_block0_line19_word0.png;amount
page0_block0_line19_word1.png;paid:
page0_block0_line19_word2.png;$.
page0_block0_line20_word0.png;remaining
page0_block0_line20_word1.png;balance:
page0_block0_line20_word2.png;$.
page0_block0_line21_word0.png;received
page0_block0_line21_word1.png;by:
page0_block0_line22_word0.png;authorized
page0_block0_line22_word1.png;signature
page0_block0_line23_word0.png;page
page0_block0_line23_word1.png;1
page0_block0_line23_word2.png;of
page0_block0_line23_word3.png;1
